aX,aY,aZ,gX,gY,gZ
0.334,0.789,0.796,8.179,0.977,4.883
0.347,0.761,0.761,9.338,-5.005,11.169
0.363,0.737,0.729,10.315,-7.019,13.916
0.383,0.710,0.699,10.498,-7.568,13.611
0.397,0.692,0.681,9.521,-6.531,9.521
0.397,0.685,0.679,9.155,-2.930,3.479

0.383,1.111,1.314,31.738,15.625,-32.227
0.368,1.202,1.432,47.302,16.418,-34.363
0.347,1.266,1.499,67.017,12.268,-30.701
0.325,1.294,1.484,85.327,2.991,-22.461
0.309,1.301,1.451,96.741,-5.981,-14.221
0.293,1.300,1.418,108.215,-13.916,-6.714
0.307,1.275,1.362,119.202,-24.414,1.526
0.328,1.256,1.324,126.160,-34.302,4.272
0.324,1.249,1.292,138.977,-36.072,3.052
0.339,1.223,1.258,151.306,-32.654,-0.427
0.344,1.196,1.239,161.926,-28.748,-6.775
0.320,1.157,1.186,176.331,-27.893,-6.653
0.304,1.104,1.116,184.937,-33.630,-0.732
0.287,1.058,1.076,192.505,-43.518,8.423
0.281,1.012,1.061,201.355,-54.443,18.250
0.280,0.963,1.039,209.229,-62.561,25.024
0.246,0.896,0.957,219.360,-69.580,31.433
0.218,0.795,0.821,229.614,-74.402,39.246
0.229,0.693,0.706,230.469,-75.989,39.917
0.229,0.622,0.639,229.553,-74.158,33.386
0.219,0.590,0.606,231.201,-66.040,24.231
0.211,0.570,0.588,235.535,-52.185,11.841
0.203,0.543,0.561,243.469,-36.926,-0.122
0.172,0.506,0.515,250.488,-25.330,-8.789
0.112,0.423,0.413,258.240,-21.606,-5.005
0.074,0.317,0.244,256.470,-29.785,12.329
0.085,0.222,0.099,246.338,-47.058,34.668
0.131,0.121,-0.006,234.436,-62.805,51.331
0.186,0.007,-0.150,222.107,-74.402,60.181
0.229,-0.122,-0.315,211.487,-81.360,62.378
0.247,-0.254,-0.515,203.003,-83.374,58.289
0.251,-0.368,-0.731,187.439,-79.834,47.058
0.221,-0.443,-0.890,168.823,-74.951,33.691
0.156,-0.487,-1.040,149.292,-71.472,27.649
0.103,-0.503,-1.177,123.840,-73.120,32.837
0.075,-0.466,-1.235,96.680,-78.064,40.771
0.048,-0.372,-1.224,72.998,-80.200,46.875
0.042,-0.240,-1.163,52.551,-73.486,46.509
0.038,-0.087,-1.074,37.537,-59.387,38.025
0.006,0.070,-0.990,25.269,-41.931,28.870
-0.026,0.211,-0.908,13.550,-28.259,24.963
-0.032,0.335,-0.822,3.052,-17.639,23.499
-0.013,0.444,-0.742,-6.226,-8.118,21.729
0.027,0.542,-0.670,-14.221,-0.977,20.874
0.086,0.630,-0.586,-19.836,2.930,20.569
0.159,0.702,-0.496,-20.325,5.737,19.348
0.230,0.743,-0.437,-17.517,9.094,15.381
0.285,0.742,-0.433,-13.062,11.414,13.184
0.341,0.716,-0.461,-10.559,10.925,12.329
0.396,0.686,-0.490,-9.338,9.888,10.559
0.444,0.656,-0.516,-8.545,10.315,5.798
0.482,0.626,-0.545,-7.751,12.695,-1.892
0.498,0.607,-0.565,-7.568,17.456,-11.780
0.470,0.602,-0.576,-7.324,20.081,-19.775
0.411,0.595,-0.601,-8.179,18.372,-21.423
0.360,0.581,-0.628,-11.536,14.893,-18.311
0.325,0.555,-0.644,-15.259,13.245,-15.625
0.301,0.516,-0.670,-18.738,14.221,-15.381
0.286,0.485,-0.705,-24.231,18.494,-18.433
0.276,0.454,-0.727,-31.067,25.635,-23.804
0.265,0.417,-0.756,-37.659,32.959,-29.236
0.237,0.382,-0.799,-46.997,41.077,-35.156
0.194,0.343,-0.814,-56.030,50.598,-41.016
0.140,0.306,-0.817,-63.416,59.326,-43.762
0.074,0.284,-0.819,-72.388,60.364,-39.001
0.020,0.279,-0.804,-81.787,57.007,-27.283
-0.011,0.278,-0.782,-91.858,53.589,-13.428
-0.015,0.274,-0.749,-102.112,50.476,-0.793
0.012,0.273,-0.707,-111.755,51.575,6.165
0.057,0.264,-0.669,-122.498,57.251,7.019
0.100,0.246,-0.632,-134.827,62.073,6.653
0.133,0.240,-0.563,-146.301,62.866,8.362
0.147,0.255,-0.468,-155.151,56.824,15.442
0.142,0.294,-0.371,-162.903,42.664,30.884
0.157,0.332,-0.286,-167.480,29.846,51.208
0.243,0.356,-0.212,-170.166,26.428,63.110
0.360,0.392,-0.119,-172.913,38.330,54.565
0.445,0.438,-0.028,-172.791,61.340,31.372
0.506,0.483,0.045,-172.241,82.092,6.287
0.537,0.533,0.135,-174.194,92.163,-14.587
0.503,0.597,0.230,-174.866,86.426,-19.531
0.443,0.634,0.269,-174.377,65.796,-0.732
0.416,0.632,0.260,-174.988,36.194,30.518
0.440,0.627,0.282,-174.194,7.812,57.251
0.530,0.624,0.322,-168.091,3.662,63.232
0.655,0.613,0.343,-163.452,31.616,36.987
0.754,0.601,0.382,-164.429,73.853,-13.672
0.781,0.617,0.464,-169.617,103.455,-67.200
0.709,0.683,0.572,-176.025,110.168,-101.257
0.551,0.804,0.724,-179.565,94.238,-103.577
0.375,0.935,0.890,-167.786,58.533,-71.106
0.243,1.016,0.926,-145.081,10.498,-9.521
0.192,1.001,0.831,-122.498,-32.166,59.204
0.242,0.895,0.701,-106.506,-58.838,110.229
0.404,0.744,0.575,-103.455,-65.369,129.761
0.592,0.645,0.528,-115.173,-45.105,103.455
0.648,0.646,0.579,-126.770,2.380,50.293
0.609,0.667,0.637,-129.028,50.354,4.517
0.570,0.694,0.682,-130.310,78.491,-23.132
0.520,0.756,0.797,-127.869,94.299,-38.879
0.478,0.802,0.931,-113.403,105.591,-42.847
0.477,0.798,0.996,-101.501,91.858,-36.072
0.479,0.789,1.029,-96.802,62.256,-19.043
0.504,0.800,1.083,-96.863,41.748,-6.897
0.558,0.830,1.178,-97.290,37.842,-11.414
0.587,0.881,1.259,-90.759,47.424,-27.161
0.581,0.931,1.298,-80.078,63.538,-46.753
0.526,0.976,1.324,-65.918,77.209,-61.340
0.438,1.005,1.308,-47.668,81.116,-62.988
0.354,0.990,1.233,-31.189,74.463,-51.270
0.306,0.928,1.130,-23.560,57.251,-31.799
0.308,0.847,1.042,-25.513,30.457,-13.000
0.312,0.802,0.989,-35.278,5.798,-2.869
0.291,0.806,0.979,-41.809,-6.409,1.587
0.277,0.820,1.000,-39.673,-6.836,2.747
0.271,0.834,1.021,-31.372,-1.709,-0.244
0.259,0.836,1.009,-19.226,4.822,-1.648
0.249,0.815,0.952,-9.399,6.653,2.258
0.255,0.783,0.893,-3.662,4.578,8.301

0.492,0.934,1.240,31.372,-18.555,-7.141
0.510,0.988,1.300,40.466,-17.090,-9.705
0.532,1.041,1.358,50.171,-14.954,-15.137
0.536,1.091,1.406,62.439,-12.939,-20.203
0.540,1.131,1.442,73.547,-14.404,-21.790
0.544,1.165,1.481,84.656,-21.240,-19.531
0.553,1.190,1.512,97.412,-31.860,-14.526
0.559,1.207,1.536,109.619,-43.213,-8.545
0.547,1.208,1.528,124.756,-55.359,-0.183
0.551,1.176,1.471,140.015,-71.533,12.329
0.579,1.115,1.405,152.954,-87.708,21.851
0.612,1.047,1.334,166.016,-95.520,22.705
0.619,0.979,1.245,177.917,-97.351,17.700
0.612,0.903,1.150,189.392,-97.229,12.268
0.599,0.829,1.079,195.129,-95.032,6.714
0.553,0.757,1.012,204.468,-95.581,5.432
0.497,0.662,0.907,214.111,-104.004,13.062
0.450,0.574,0.800,215.820,-122.375,26.367
0.423,0.502,0.726,216.370,-143.616,39.001
0.436,0.432,0.684,218.201,-158.020,41.992
0.430,0.374,0.651,223.389,-158.386,30.396
0.368,0.318,0.569,235.229,-146.667,14.160
0.301,0.262,0.447,242.249,-127.441,-0.366
0.247,0.199,0.318,243.530,-108.887,-13.855
0.212,0.135,0.195,238.892,-96.619,-23.193
0.192,0.084,0.105,231.445,-87.219,-29.663
0.163,0.036,0.026,226.624,-80.261,-32.959
0.137,-0.017,-0.082,223.694,-80.688,-30.884
0.096,-0.064,-0.238,217.285,-88.379,-21.790
0.040,-0.125,-0.420,209.229,-96.802,-8.972
0.014,-0.201,-0.588,197.266,-98.633,1.892
-0.001,-0.277,-0.747,185.547,-97.107,6.165
-0.036,-0.340,-0.931,172.729,-94.116,9.399
-0.078,-0.378,-1.130,154.541,-85.571,11.841
-0.097,-0.392,-1.296,130.493,-73.303,11.658
-0.104,-0.387,-1.411,103.455,-60.303,5.859
-0.116,-0.331,-1.460,72.388,-49.988,1.709
-0.125,-0.215,-1.419,42.969,-40.100,0.122
-0.115,-0.068,-1.306,18.799,-29.114,0.244
-0.093,0.107,-1.162,-0.793,-17.151,-1.465
-0.068,0.289,-1.013,-16.357,-4.456,-2.502
-0.013,0.465,-0.854,-30.701,4.395,-2.197
0.065,0.622,-0.668,-40.588,10.315,-3.113
0.141,0.741,-0.481,-41.748,14.404,-3.357
0.224,0.819,-0.338,-37.781,15.381,-1.160
0.320,0.856,-0.266,-32.593,11.536,3.845
0.425,0.855,-0.247,-26.184,4.517,9.705
0.519,0.821,-0.266,-18.616,-1.343,11.597
0.572,0.767,-0.327,-11.963,-3.723,9.888
0.588,0.709,-0.412,-7.080,-3.906,5.859
0.579,0.648,-0.495,-4.150,-0.916,-0.916
0.547,0.582,-0.575,-3.784,4.028,-8.789
0.497,0.526,-0.643,-7.080,7.812,-15.137
0.427,0.497,-0.683,-12.695,9.460,-18.066
0.347,0.480,-0.705,-18.005,9.460,-15.869
0.284,0.477,-0.711,-23.682,7.874,-10.437
0.239,0.486,-0.690,-29.236,7.446,-5.981
0.193,0.500,-0.669,-33.325,8.606,-2.075
0.161,0.510,-0.661,-37.170,12.268,1.892
0.152,0.514,-0.657,-41.199,16.968,4.272
0.137,0.506,-0.664,-45.410,21.790,5.127
0.121,0.481,-0.693,-50.171,27.161,6.409
0.118,0.440,-0.721,-56.946,33.630,7.019
0.105,0.393,-0.732,-63.965,39.246,7.751
0.073,0.357,-0.742,-72.327,38.025,13.916
0.036,0.343,-0.740,-85.388,24.414,29.419
0.020,0.354,-0.705,-99.182,6.287,49.683
0.036,0.347,-0.672,-109.619,-6.531,67.932
0.080,0.307,-0.658,-119.446,-13.000,79.407
0.120,0.267,-0.623,-129.578,-13.367,81.360
0.139,0.234,-0.566,-137.024,-7.202,79.407
0.170,0.206,-0.501,-144.043,1.526,76.477
0.214,0.198,-0.420,-150.513,14.709,71.167
0.255,0.210,-0.321,-152.832,33.630,62.500
0.286,0.236,-0.213,-152.588,54.749,53.162
0.310,0.281,-0.117,-150.696,72.083,48.523
0.329,0.320,-0.038,-147.888,84.900,48.279
0.351,0.336,0.008,-146.057,92.102,50.415
0.390,0.348,0.032,-150.269,91.064,54.199
0.442,0.355,0.070,-154.419,90.210,57.129
0.531,0.353,0.114,-159.424,97.290,51.880
0.612,0.366,0.169,-168.762,107.361,38.208
0.630,0.395,0.217,-175.781,119.629,26.855
0.637,0.427,0.249,-181.030,130.554,19.958
0.659,0.455,0.344,-179.077,140.076,9.766
0.652,0.488,0.416,-165.405,154.968,-1.648
0.603,0.485,0.390,-156.921,157.043,-6.897
0.571,0.438,0.367,-161.621,134.827,5.615
0.599,0.421,0.419,-176.575,93.445,27.893
0.652,0.439,0.527,-186.096,62.988,43.091
0.771,0.475,0.660,-190.125,62.134,38.635
0.937,0.575,0.935,-193.665,88.135,6.592
0.994,0.730,1.254,-171.021,133.179,-35.828
0.956,0.833,1.374,-137.695,163.696,-65.063
0.890,0.894,1.378,-119.324,158.569,-70.190
0.792,0.967,1.389,-102.417,132.812,-56.580
0.708,0.999,1.344,-79.590,108.765,-34.973
0.678,0.953,1.228,-65.002,90.942,-19.348
0.674,0.867,1.108,-62.073,77.148,-14.771
0.689,0.781,1.028,-66.406,67.627,-21.423
0.690,0.756,1.049,-78.674,63.049,-35.461
0.642,0.807,1.161,-82.520,59.448,-45.227
0.595,0.885,1.260,-73.486,54.260,-42.358
0.566,0.957,1.327,-57.434,48.157,-34.363
0.537,0.989,1.352,-36.621,44.189,-26.184
0.505,0.968,1.291,-18.982,34.058,-14.221
0.479,0.923,1.193,-11.353,16.846,0.305
0.461,0.885,1.112,-10.864,1.038,10.498
0.443,0.862,1.058,-12.146,-7.080,15.442
0.436,0.838,1.016,-10.071,-6.470,15.747
0.461,0.797,0.971,-5.310,-1.831,11.047
0.487,0.763,0.927,-2.441,5.615,-0.122
0.477,0.750,0.891,1.587,14.343,-12.085
0.452,0.731,0.844,7.446,20.386,-19.592
0.427,0.712,0.784,10.864,19.958,-20.325
0.405,0.699,0.735,11.536,16.174,-16.113
0.396,0.685,0.700,11.475,9.949,-10.132
0.400,0.663,0.667,11.108,4.456,-5.981
0.412,0.633,0.635,9.399,1.770,-5.737
