aX,aY,aZ,gX,gY,gZ
0.494,0.831,1.592,-178.345,126.709,-71.472
0.417,0.889,1.579,-185.059,103.760,-82.764
0.277,0.973,1.574,-184.509,88.135,-75.256
0.229,1.045,1.595,-179.810,80.322,-65.430
0.215,1.133,1.708,-166.809,73.364,-61.584
0.183,1.198,1.763,-132.751,69.275,-51.208
0.193,1.165,1.702,-105.347,60.303,-37.354
0.203,1.131,1.702,-96.680,44.739,-33.203
0.144,1.178,1.729,-81.421,32.349,-28.870
0.095,1.204,1.669,-62.134,21.545,-14.404
0.096,1.192,1.581,-47.852,8.484,1.160
0.103,1.177,1.506,-32.593,0.610,10.986
0.113,1.130,1.385,-16.235,-3.052,20.203
0.162,1.044,1.239,-7.202,-10.803,28.931
0.235,0.971,1.140,-4.578,-18.494,28.076
0.268,0.943,1.081,-2.075,-16.602,19.165
0.266,0.921,1.017,3.174,-9.338,11.841
0.259,0.883,0.944,8.545,-6.592,9.766
0.255,0.849,0.878,12.817,-10.620,12.146
0.266,0.810,0.830,17.517,-15.198,13.550
0.276,0.764,0.783,19.775,-14.587,9.766
0.264,0.731,0.736,19.409,-11.047,4.883
0.240,0.704,0.709,18.677,-8.179,3.174
0.223,0.683,0.693,18.738,-8.362,5.432
0.221,0.666,0.682,18.921,-11.597,10.681
0.243,0.642,0.681,19.287,-16.296,14.465
0.262,0.620,0.685,17.517,-18.433,12.695
0.252,0.613,0.690,16.052,-15.198,8.606

0.140,1.134,1.521,89.722,-7.019,1.587
0.140,1.191,1.579,105.469,0.793,-3.479
0.140,1.242,1.616,120.361,4.944,-7.141
0.131,1.287,1.661,135.803,6.226,-9.766
0.110,1.332,1.697,154.541,7.690,-10.071
0.082,1.355,1.690,174.988,6.592,-5.737
0.064,1.343,1.640,193.420,-0.122,4.456
0.055,1.310,1.563,211.182,-11.536,19.714
0.073,1.261,1.487,226.440,-23.682,35.156
0.113,1.206,1.426,237.488,-35.583,45.593
0.151,1.137,1.368,250.854,-43.701,50.232
0.156,1.076,1.306,262.024,-47.607,50.293
0.125,1.001,1.240,278.442,-50.842,54.871
0.100,0.900,1.174,299.072,-55.664,66.589
0.081,0.785,1.095,319.763,-63.110,79.529
0.064,0.630,0.957,337.891,-75.806,94.788
0.037,0.461,0.764,343.262,-92.590,109.985
-0.000,0.296,0.565,338.013,-106.201,123.779
-0.003,0.132,0.370,325.439,-117.676,134.460
0.062,-0.032,0.206,312.866,-124.329,133.789
0.144,-0.169,0.078,300.659,-116.333,112.732
0.176,-0.280,-0.057,292.114,-95.154,79.163
0.145,-0.401,-0.222,281.677,-71.228,46.021
0.054,-0.511,-0.413,265.930,-58.594,28.870
-0.038,-0.576,-0.592,246.277,-59.509,31.921
-0.101,-0.578,-0.718,218.323,-74.097,49.316
-0.132,-0.536,-0.823,194.092,-93.689,75.195
-0.097,-0.501,-0.931,169.312,-105.530,92.651
-0.021,-0.471,-1.005,147.583,-99.792,88.074
0.021,-0.411,-1.057,128.723,-78.369,67.566
0.020,-0.321,-1.097,109.070,-56.335,48.035
0.015,-0.212,-1.098,88.989,-38.574,34.180
-0.001,-0.101,-1.076,71.228,-27.039,26.489
-0.023,0.009,-1.063,53.833,-23.010,30.579
-0.014,0.131,-1.020,33.691,-29.053,44.617
0.048,0.259,-0.920,19.836,-33.875,56.763
0.130,0.361,-0.828,13.977,-27.466,54.321
0.194,0.427,-0.786,11.414,-12.390,42.480
0.231,0.477,-0.767,7.690,1.099,29.236
0.265,0.516,-0.755,2.258,8.423,21.729
0.317,0.544,-0.738,-5.005,9.033,19.043
0.376,0.559,-0.698,-9.155,7.996,16.724
0.438,0.564,-0.661,-7.507,9.399,13.611
0.492,0.566,-0.650,-4.395,9.583,9.521
0.528,0.570,-0.657,-3.052,8.179,6.775
0.549,0.586,-0.652,-2.441,5.493,4.333
0.554,0.609,-0.638,-1.282,2.991,1.892
0.545,0.617,-0.640,-0.183,-0.305,-0.671
0.534,0.613,-0.653,-0.244,-2.747,-4.395
0.517,0.604,-0.657,-0.732,-3.296,-9.521
0.479,0.592,-0.659,-1.221,-3.418,-13.489
0.421,0.574,-0.671,-1.526,-5.493,-13.550
0.366,0.554,-0.691,-2.625,-9.216,-9.949
0.326,0.540,-0.709,-4.211,-12.268,-5.981
0.301,0.531,-0.720,-6.042,-12.329,-4.517
0.281,0.528,-0.722,-8.057,-9.521,-5.798
0.259,0.513,-0.723,-8.789,-4.578,-8.484
0.238,0.491,-0.748,-11.230,-1.160,-9.460
0.221,0.460,-0.782,-17.761,-1.221,-6.226
0.222,0.424,-0.796,-26.794,-2.686,-1.831
0.240,0.402,-0.791,-34.973,-1.587,-0.549
0.249,0.382,-0.776,-41.016,2.197,-3.540
0.245,0.362,-0.782,-45.288,9.399,-9.338
0.252,0.348,-0.792,-51.392,18.311,-17.700
0.255,0.331,-0.782,-56.580,27.466,-28.442
0.248,0.305,-0.792,-61.462,38.086,-39.795
0.242,0.272,-0.813,-70.679,46.143,-49.561
0.219,0.242,-0.812,-81.848,51.392,-56.946
0.153,0.215,-0.810,-95.520,49.866,-57.007
0.071,0.185,-0.818,-110.229,42.480,-47.119
0.011,0.165,-0.783,-125.305,32.593,-33.325
-0.035,0.139,-0.729,-132.996,26.062,-18.860
-0.060,0.079,-0.748,-142.456,22.095,-2.014
-0.057,0.008,-0.768,-158.691,16.357,16.174
0.018,-0.046,-0.716,-172.363,19.287,23.987
0.154,-0.044,-0.614,-185.547,35.095,8.301
0.225,0.004,-0.502,-196.045,59.570,-20.813
0.235,0.050,-0.440,-203.674,81.970,-41.626
0.250,0.117,-0.339,-216.797,93.445,-54.871
0.215,0.222,-0.173,-223.694,95.947,-59.937
0.141,0.299,-0.096,-223.572,91.553,-46.265
0.121,0.316,-0.070,-230.042,77.454,-22.888
0.104,0.312,-0.007,-234.802,57.129,0.183
0.091,0.271,-0.016,-232.788,44.556,22.949
0.130,0.187,-0.095,-242.798,33.691,38.452
0.193,0.118,-0.135,-263.916,35.339,41.321
0.322,0.049,-0.098,-288.818,46.814,20.081
0.418,0.018,0.038,-320.190,68.054,-24.231
0.381,0.078,0.244,-340.576,106.812,-70.313
0.323,0.236,0.612,-340.698,141.968,-106.628
0.301,0.486,1.109,-313.171,168.152,-129.211
0.263,0.706,1.420,-267.090,179.260,-130.188
0.260,0.736,1.496,-231.323,150.208,-116.272
0.219,0.737,1.492,-224.365,81.421,-89.661
0.093,0.832,1.470,-229.065,11.353,-36.926
0.139,0.877,1.517,-229.980,-32.959,17.761
0.319,0.924,1.707,-227.783,-32.288,23.987
0.389,1.008,1.872,-201.050,19.043,-11.658
0.372,1.019,1.862,-164.734,80.261,-55.481
0.294,1.013,1.847,-144.470,113.647,-91.919
0.139,1.069,1.869,-119.751,119.019,-103.577
0.032,1.091,1.826,-94.604,99.182,-89.905
-0.033,1.087,1.761,-80.994,59.204,-63.416
-0.115,1.113,1.690,-69.092,17.029,-27.100
-0.150,1.116,1.582,-56.519,-17.578,14.343
-0.104,1.073,1.470,-46.509,-38.757,47.302
-0.008,1.009,1.392,-37.903,-40.588,58.960
0.086,0.940,1.322,-28.015,-24.597,49.561
0.153,0.873,1.233,-19.470,-3.662,29.602
0.169,0.841,1.136,-15.381,10.010,13.794
0.168,0.829,1.068,-13.062,16.052,8.606
0.202,0.814,1.048,-9.644,14.099,8.484
0.239,0.810,1.042,-1.831,8.545,9.033
0.249,0.806,0.995,8.179,2.502,13.000
0.254,0.776,0.915,13.306,-6.653,21.545
0.278,0.733,0.863,14.099,-17.517,26.917
0.302,0.709,0.840,15.137,-20.752,22.339
0.302,0.704,0.809,16.846,-12.878,11.475
0.291,0.695,0.775,16.541,-1.526,0.488

0.307,1.031,1.471,50.415,-59.265,9.583
0.313,1.143,1.611,58.838,-72.266,7.935
0.294,1.266,1.721,78.674,-69.397,5.493
0.279,1.339,1.767,104.980,-51.025,1.282
0.276,1.337,1.732,134.521,-31.128,-0.977
0.297,1.277,1.626,158.997,-22.095,-0.671
0.304,1.224,1.514,172.546,-20.874,-0.183
0.289,1.184,1.415,188.049,-20.630,2.747
0.304,1.137,1.332,199.829,-16.541,3.723
0.307,1.093,1.280,206.726,-11.414,-0.488
0.278,1.034,1.194,222.778,-11.292,1.160
0.270,0.960,1.085,232.056,-15.991,6.348
0.242,0.903,1.018,236.755,-22.949,10.742
0.201,0.847,0.951,248.169,-29.907,20.813
0.204,0.779,0.900,252.136,-38.513,29.846
0.212,0.723,0.880,257.080,-48.828,36.377
0.217,0.695,0.854,264.160,-59.387,45.593
0.224,0.670,0.860,267.456,-67.078,52.856
0.216,0.605,0.846,281.799,-75.439,60.852
0.199,0.509,0.738,294.250,-85.266,69.397
0.175,0.401,0.614,298.279,-93.140,75.867
0.162,0.275,0.495,306.580,-93.689,77.148
0.194,0.151,0.362,307.434,-88.379,70.862
0.213,0.061,0.235,296.570,-88.318,60.364
0.188,-0.041,0.090,289.795,-89.233,50.903
0.167,-0.166,-0.085,282.043,-84.961,39.307
0.125,-0.294,-0.270,274.231,-74.158,23.804
0.046,-0.417,-0.495,263.855,-61.279,11.353
-0.019,-0.533,-0.730,245.728,-53.345,6.897
-0.071,-0.619,-0.937,223.328,-52.429,9.766
-0.128,-0.680,-1.149,198.242,-54.565,16.846
-0.165,-0.723,-1.345,166.321,-60.303,29.907
-0.164,-0.705,-1.470,131.897,-72.144,47.302
-0.130,-0.636,-1.518,99.609,-80.078,61.584
-0.066,-0.531,-1.499,70.374,-75.989,65.186
0.024,-0.370,-1.408,42.969,-63.293,58.411
0.108,-0.169,-1.253,20.508,-46.082,42.725
0.168,0.035,-1.085,4.761,-26.184,23.926
0.194,0.240,-0.925,-10.010,-12.085,9.827
0.212,0.430,-0.757,-20.996,-6.104,4.456
0.249,0.590,-0.589,-26.062,-3.357,3.845
0.281,0.704,-0.458,-23.743,-3.662,5.066
0.301,0.763,-0.407,-17.883,-6.531,9.460
0.331,0.776,-0.422,-13.428,-9.705,13.611
0.367,0.746,-0.466,-9.277,-8.484,11.536
0.398,0.700,-0.519,-6.775,-3.296,3.784
0.399,0.655,-0.568,-5.859,1.282,-5.066
0.369,0.605,-0.626,-5.554,2.747,-8.484
0.348,0.550,-0.684,-7.385,0.793,-7.446
0.338,0.502,-0.719,-11.047,-2.808,-5.249
0.322,0.461,-0.742,-14.343,-5.249,-3.723
0.295,0.419,-0.781,-17.456,-4.272,-2.808
